أَتَىٰٓ                 ['ʔ', 'a', 't', 'a:']
وَٱلۡأَرۡضَ              ['w', 'a', 'l', 'ʔ', 'a', 'r', 'dˤ', 'a']
بِٱلۡحَقِّ‌ۚ              ['b', 'i', 'l', 'ħ', 'a', 'q', 'q', 'i']
تَعَـٰلَىٰ               ['t', 'a', 'ʕ', 'a:', 'l', 'a:']
عَمَّا                 ['ʕ', 'a', 'm̃', 'a:']
يُشۡرِكُونَ              ['j', 'u', 'ʃ', 'r', 'i', 'k', 'u:', 'n']

16:4
خَلَقَ                 ['x', 'a', 'l', 'a', 'q', 'a']
ٱلۡإِنسَـٰنَ             ['l', 'ʔ', 'i', 'ŋ', 's', 'a:', 'n', 'a']
مِن                  ['m', 'i']
نُّطۡفَةٍ                ['ñ', 'u', 'tˤ', 'Q', 'f', 'a', 't', 'i', 'ŋ']
فَإِذَا                ['f', 'a', 'ʔ', 'i', 'ð', 'a:']
هُوَ                  ['h', 'u', 'w', 'a']
خَصِيمٌ                ['x', 'a', 'sˤ', 'i:', 'm', 'u']
مُّبِينٌ                ['m̃', 'u', 'b', 'i:', 'n']

16:5
وَٱلۡأَنۡعَـٰمَ            ['w', 'a', 'l', 'ʔ', 'a', 'n', 'ʕ', 'a:', 'm', 'a']
خَلَقَهَا‌ۗ              ['x', 'a', 'l', 'a', 'q', 'a', 'h', 'a:']
لَكُمۡ                 ['l', 'a', 'k', 'u', 'm']
فِيهَا                ['f', 'i:', 'h', 'a:']
دِفۡءٌ                 ['d', 'i', 'f', 'ʔ', 'u']
وَمَنَـٰفِعُ              ['w̃', 'a', 'm', 'a', 'n', 'a:', 'f', 'i', 'ʕ', 'u']
وَمِنۡهَا               ['w', 'a', 'm', 'i', 'n', 'h', 'a:']
تَأۡكُلُونَ              ['t', 'a', 'ʔ', 'k', 'u', 'l', 'u:', 'n']

16:6
وَلَكُمۡ                ['w', 'a', 'l', 'a', 'k', 'u', 'm']
فِيهَا                ['f', 'i:', 'h', 'a:']
جَمَالٌ                ['ʒ', 'a', 'm', 'a:', 'l', 'u', 'n']
حِينَ                 ['ħ', 'i:', 'n', 'a']
تُرِيحُونَ              ['t', 'u', 'r', 'i:', 'ħ', 'u:', 'n', 'a']
وَحِينَ                ['w', 'a', 'ħ', 'i:', 'n', 'a']
تَسۡرَحُونَ              ['t', 'a', 's', 'r', 'a', 'ħ', 'u:', 'n']

16:7
وَتَحۡمِلُ               ['w', 'a', 't', 'a', 'ħ', 'm', 'i', 'l', 'u']
أَثۡقَالَكُمۡ             ['ʔ', 'a', 'θ', 'q', 'a:', 'l', 'a', 'k', 'u', 'm']
إِلَىٰ                 ['ʔ', 'i', 'l', 'a:']
بَلَدٍ                 ['b', 'a', 'l', 'a', 'd', 'i']
لَّمۡ                  ['l', 'l', 'a', 'm']
تَكُونُواۡ              ['t', 'a', 'k', 'u:', 'n', 'u:']
بَـٰلِغِيهِ              ['b', 'a:', 'l', 'i', 'ɣ', 'i:', 'h', 'i']
إِلَّا                 ['ʔ', 'i', 'l', 'l', 'a:']
بِشِقِّ                 ['b', 'i', 'ʃ', 'i', 'q', 'q', 'i']
ٱلۡأَنفُسِ‌ۚ             ['l', 'ʔ', 'a', 'ŋ', 'f', 'u', 's', 'i']
إِنَّ                  ['ʔ', 'i', 'ñ', 'a']
رَبَّكُمۡ                ['r', 'a', 'b', 'b', 'a', 'k', 'u', 'm']
لَرَءُوفٌ               ['l', 'a', 'r', 'a', 'ʔ', 'u:', 'f', 'u']
رَّحِيمٌ                ['r', 'r', 'a', 'ħ', 'i:', 'm']

16:8
وَٱلۡخَيۡلَ              ['w', 'a', 'l', 'x', 'a', 'j', 'l', 'a']
وَٱلۡبِغَالَ             ['w', 'a', 'l', 'b', 'i', 'ɣ', 'a:', 'l', 'a']
وَٱلۡحَمِيرَ             ['w', 'a', 'l', 'ħ', 'a', 'm', 'i:', 'r', 'a']
لِتَرۡكَبُوهَا            ['l', 'i', 't', 'a', 'r', 'k', 'a', 'b', 'u:', 'h', 'a:']
وَزِينَةً‌ۚ              ['w', 'a', 'z', 'i:', 'n', 'a', 't', 'a']
وَيَخۡلُقُ               ['w̃', 'a', 'j', 'a', 'x', 'l', 'u', 'q', 'u']
مَا                  ['m', 'a:']
لَا                  ['l', 'a:']
تَعۡلَمُونَ              ['t', 'a', 'ʕ', 'l', 'a', 'm', 'u:', 'n']

16:9
وَعَلَى                ['w', 'a', 'ʕ', 'a', 'l', 'a']
ٱللَّهِ                ['l', 'l', 'l', 'a', 'h', 'i']
قَصۡدُ                 ['q', 'a', 'sˤ', 'd', 'u']
ٱلسَّبِيلِ              ['s', 's', 'a', 'b', 'i:', 'l', 'i']
وَمِنۡهَا               ['w', 'a', 'm', 'i', 'n', 'h', 'a:']
جَآئِرٌ‌ۚ               ['ʒ', 'a:', 'ʔ', 'i', 'r', 'u']
وَلَوۡ                 ['w̃', 'a', 'l', 'a', 'w']
شَآءَ                 ['ʃ', 'a:', 'ʔ', 'a']
لَهَدَٮٰكُمۡ              ['l', 'a', 'h', 'a', 'd', 'a:', 'k', 'u', 'm']
أَجۡمَعِينَ              ['ʔ', 'a', 'ʒ', 'Q', 'm', 'a', 'ʕ', 'i:', 'n']

16:10
هُوَ                  ['h', 'u', 'w', 'a']
ٱلَّذِىٓ                ['l', 'l', 'a', 'ð', 'i:']
أَنزَلَ                ['ʔ', 'a', 'ŋ', 'z', 'a', 'l', 'a']
مِنَ                  ['m', 'i', 'n', 'a']
ٱلسَّمَآءِ              ['s', 's', 'a', 'm', 'a:', 'ʔ', 'i']
مَآءً‌ۖ                ['m', 'a:', 'ʔ', 'a']
لَّكُم                 ['l', 'l', 'a', 'k', 'u', 'm̃']
مِّنۡهُ                 ['i', 'n', 'h', 'u']
شَرَابٌ                ['ʃ', 'a', 'r', 'a:', 'b', 'u']
وَمِنۡهُ                ['w̃', 'a', 'm', 'i', 'n', 'h', 'u']
شَجَرٌ                 ['ʃ', 'a', 'ʒ', 'a', 'r', 'u', 'ŋ']
فِيهِ                 ['f', 'i:', 'h', 'i']
تُسِيمُونَ              ['t', 'u', 's', 'i:', 'm', 'u:', 'n']

16:11
يُنۢبِتُ                ['j', 'u', 'm̃', 'b', 'i', 't', 'u']
لَكُم                 ['l', 'a', 'k', 'u', 'ɱ']
بِهِ                  ['b', 'i', 'h', 'i']
ٱلزَّرۡعَ               ['z', 'z', 'a', 'r', 'ʕ', 'a']
وَٱلزَّيۡتُونَ            ['w', 'a', 'z', 'z', 'a', 'j', 't', 'u:', 'n', 'a']
وَٱلنَّخِيلَ             ['w', 'a', 'ñ', 'a', 'x', 'i:', 'l', 'a']
وَٱلۡأَعۡنَـٰبَ            ['w', 'a', 'l', 'ʔ', 'a', 'ʕ', 'n', 'a:', 'b', 'a']
وَمِن                 ['w', 'a', 'm', 'i', 'ŋ']
كُلِّ                  ['k', 'u', 'l', 'l', 'i']
ٱلثَّمَرٰتِ‌ۗ             ['θ', 'θ', 'a', 'm', 'a', 'r', 'a:', 't']
إِنَّ                  ['ʔ', 'i', 'ñ', 'a']
فِى                  ['f', 'i:']
ذٰلِكَ                 ['ð', 'a:', 'l', 'i', 'k', 'a']
لَأَيَةً                ['l', 'a', 'ʔ', 'a', 'j', 'a', 't', 'a']
لِّقَوۡمٍ                ['l', 'l', 'i', 'q', 'a', 'w', 'm', 'i']
يَتَفَكَّرُونَ             ['j̃', 'a', 't', 'a', 'f', 'a', 'k', 'k', 'a', 'r', 'u:', 'n']

16:12
وَسَخَّرَ                ['w', 'a', 's', 'a', 'x', 'x', 'a', 'r', 'a']
لَكُمُ                 ['l', 'a', 'k', 'u', 'm', 'u']
ٱلَّيۡلَ                ['l', 'l', 'a', 'j', 'l', 'a']
وَٱلنَّهَارَ             ['w', 'a', 'ñ', 'a', 'h', 'a:', 'r', 'a']
وَٱلشَّمۡسَ              ['w', 'a', 'ʃ', 'ʃ', 'a', 'm', 's', 'a']
وَٱلۡقَمَرَ‌ۖ             ['w', 'a', 'l', 'q', 'a', 'm', 'a', 'r', 'a']
وَٱلنُّجُومُ             ['w', 'a', 'ñ', 'u', 'ʒ', 'u:', 'm', 'u']
مُسَخَّرٰتُۢ               ['m', 'u', 's', 'a', 'x', 'x', 'a', 'r', 'a:', 't', 'u', 'm̃']
بِأَمۡرِهِۦٓ‌ۗ             ['b', 'i', 'ʔ', 'a', 'm', 'r', 'i', 'h']
إِنَّ                  ['ʔ', 'i', 'ñ', 'a']
فِى                  ['f', 'i:']
ذٰلِكَ                 ['ð', 'a:', 'l', 'i', 'k', 'a']
لَأَيَـٰتٍ               ['l', 'a', 'ʔ', 'a', 'j', 'a:', 't', 'i']
لِّقَوۡمٍ                ['l', 'l', 'i', 'q', 'a', 'w', 'm', 'i']
يَعۡقِلُونَ              ['j̃', 'a', 'ʕ', 'q', 'i', 'l', 'u:', 'n']

16:13
وَمَا                 ['w', 'a', 'm', 'a:']
ذَرَأَ                 ['ð', 'a', 'r', 'a', 'ʔ', 'a']
لَكُمۡ                 ['l', 'a', 'k', 'u', 'm']
فِى                  ['f', 'i']
ٱلۡأَرۡضِ               ['l', 'ʔ', 'a', 'r', 'dˤ', 'i']
مُخۡتَلِفًا              ['m', 'u', 'x', 't', 'a', 'l', 'i', 'f', 'a', 'n']
أَلۡوٰنُهُۥٓ‌ۗ             ['ʔ', 'a', 'l', 'w', 'a:', 'n', 'u', 'h', 'u']
إِنَّ                  ['ʔ', 'i', 'ñ', 'a']
فِى                  ['f', 'i:']
ذٰلِكَ                 ['ð', 'a:', 'l', 'i', 'k', 'a']
لَأَيَةً                ['l', 'a', 'ʔ', 'a', 'j', 'a', 't', 'a']
لِّقَوۡمٍ                ['l', 'l', 'i', 'q', 'a', 'w', 'm', 'i']
يَذَّكَّرُونَ              ['j̃', 'a', 'ð', 'ð', 'a', 'k', 'k', 'a', 'r', 'u:', 'n']

16:14
وَهُوَ                 ['w', 'a', 'h', 'u', 'w', 'a']
ٱلَّذِى                ['l', 'l', 'a', 'ð', 'i:']
سَخَّرَ                 ['s', 'a', 'x', 'x', 'a', 'r', 'a']
ٱلۡبَحۡرَ               ['l', 'b', 'a', 'ħ', 'r', 'a']
لِتَأۡكُلُواۡ             ['l', 'i', 't', 'a', 'ʔ', 'k', 'u', 'l', 'u:']
مِنۡهُ                 ['m', 'i', 'n', 'h', 'u']
لَحۡمًا                ['l', 'a', 'ħ', 'm', 'a', 'ŋˤ']
طَرِيًّا                ['tˤ', 'a', 'r', 'i', 'j', 'j', 'a']
وَتَسۡتَخۡرِجُواۡ           ['w̃', 'a', 't', 'a', 's', 't', 'a', 'x', 'r', 'i', 'ʒ', 'u:']
مِنۡهُ                 ['m', 'i', 'n', 'h', 'u']
حِلۡيَةً                ['ħ', 'i', 'l', 'j', 'a', 't', 'a', 'ŋ']
تَلۡبَسُونَهَا            ['t', 'a', 'l', 'b', 'a', 's', 'u:', 'n', 'a', 'h', 'a:']
وَتَرَى                ['w', 'a', 't', 'a', 'r', 'a']
ٱلۡفُلۡكَ               ['l', 'f', 'u', 'l', 'k', 'a']
مَوَاخِرَ               ['m', 'a', 'w', 'a:', 'x', 'i', 'r', 'a']
فِيهِ                 ['f', 'i:', 'h', 'i']
وَلِتَبۡتَغُواۡ            ['w', 'a', 'l', 'i', 't', 'a', 'b', 'Q', 't', 'a', 'ɣ', 'u:']
مِن                  ['m', 'i', 'ŋ']
فَضۡلِهِۦ               ['f', 'a', 'dˤ', 'l', 'i', 'h', 'i:']
وَلَعَلَّكُمۡ              ['w', 'a', 'l', 'a', 'ʕ', 'a', 'l', 'l', 'a', 'k', 'u', 'm']
تَشۡكُرُونَ              ['t', 'a', 'ʃ', 'k', 'u', 'r', 'u:', 'n']

16:15
وَأَلۡقَىٰ               ['w', 'a', 'ʔ', 'a', 'l', 'q', 'a:']
فِى                  ['f', 'i']
ٱلۡأَرۡضِ               ['l', 'ʔ', 'a', 'r', 'dˤ', 'i']
رَوٰسِىَ                ['r', 'a', 'w', 'a:', 's', 'i', 'j', 'a']
أَن                  ['ʔ', 'a', 'ŋ']
تَمِيدَ                ['t', 'a', 'm', 'i:', 'd', 'a']
بِكُمۡ                 ['b', 'i', 'k', 'u', 'm']
وَأَنۡهَـٰرًا             ['w', 'a', 'ʔ', 'a', 'n', 'h', 'a:', 'r', 'a']
وَسُبُلاً               ['w̃', 'a', 's', 'u', 'b', 'u', 'l', 'a']
لَّعَلَّكُمۡ               ['l', 'l', 'a', 'ʕ', 'a', 'l', 'l', 'a', 'k', 'u', 'm']
تَهۡتَدُونَ              ['t', 'a', 'h', 't', 'a', 'd', 'u:', 'n']

16:16
وَعَلَـٰمَـٰتٍ‌ۚ            ['w', 'a', 'ʕ', 'a', 'l', 'a:', 'm', 'a:', 't', 'i']
وَبِٱلنَّجۡمِ             ['w̃', 'a', 'b', 'i', 'ñ', 'a', 'ʒ', 'Q', 'm', 'i']
هُمۡ                  ['h', 'u', 'm']
يَهۡتَدُونَ              ['j', 'a', 'h', 't', 'a', 'd', 'u:', 'n']

16:17
أَفَمَن                ['ʔ', 'a', 'f', 'a', 'm', 'a']
يَخۡلُقُ                ['j̃', 'a', 'x', 'l', 'u', 'q', 'u']
كَمَن                 ['k', 'a', 'm', 'a']
لَّا                  ['l', 'l', 'a:']
يَخۡلُقُ‌ۗ               ['j', 'a', 'x', 'l', 'u', 'q', 'QQ']
أَفَلَا                ['ʔ', 'a', 'f', 'a', 'l', 'a:']
تَذَكَّرُونَ              ['t', 'a', 'ð', 'a', 'k', 'k', 'a', 'r', 'u:', 'n']

16:18
وَإِن                 ['w', 'a', 'ʔ', 'i', 'ŋ']
تَعُدُّواۡ               ['t', 'a', 'ʕ', 'u', 'd', 'd', 'u:']
نِعۡمَةَ                ['n', 'i', 'ʕ', 'm', 'a', 't', 'a']
ٱللَّهِ                ['l', 'l', 'l', 'a', 'h', 'i']
لَا                  ['l', 'a:']
تُحۡصُوهَآ‌ۗ             ['t', 'u', 'ħ', 'sˤ', 'u:', 'h', 'a:']
إِنَّ                  ['ʔ', 'i', 'ñ', 'a']
ٱللَّهَ                ['l', 'l', 'l', 'a', 'h', 'a']
لَغَفُورٌ               ['l', 'a', 'ɣ', 'a', 'f', 'u:', 'r', 'u']
رَّحِيمٌ                ['r', 'r', 'a', 'ħ', 'i:', 'm']

16:19
وَٱللَّهُ               ['w', 'a', 'l', 'l', 'l', 'a', 'h', 'u']
يَعۡلَمُ                ['j', 'a', 'ʕ', 'l', 'a', 'm', 'u']
مَا                  ['m', 'a:']
تُسِرُّونَ               ['t', 'u', 's', 'i', 'r', 'r', 'u:', 'n', 'a']
وَمَا                 ['w', 'a', 'm', 'a:']
تُعۡلِنُونَ              ['t', 'u', 'ʕ', 'l', 'i', 'n', 'u:', 'n']

16:20
وَٱلَّذِينَ              ['w', 'a', 'l', 'l', 'a', 'ð', 'i:', 'n', 'a']
يَدۡعُونَ               ['j', 'a', 'd', 'Q', 'ʕ', 'u:', 'n', 'a']
مِن                  ['m', 'i', 'ŋ']
دُونِ                 ['d', 'u:', 'n', 'i']
ٱللَّهِ                ['l', 'l', 'l', 'a', 'h', 'i']
لَا                  ['l', 'a:']
يَخۡلُقُونَ              ['j', 'a', 'x', 'l', 'u', 'q', 'u:', 'n', 'a']
شَيۡــًٔا               ['ʃ', 'a', 'j', 'ʔ', 'a']
وَهُمۡ                 ['w̃', 'a', 'h', 'u', 'm']
يُخۡلَقُونَ              ['j', 'u', 'x', 'l', 'a', 'q', 'u:', 'n']

16:21
أَمۡوٰتٌ                ['ʔ', 'a', 'm', 'w', 'a:', 't', 'u', 'n']
غَيۡرُ                 ['ɣ', 'a', 'j', 'r', 'u']
أَحۡيَآءٍ‌ۖ              ['ʔ', 'a', 'ħ', 'j', 'a:', 'ʔ', 'i']
وَمَا                 ['w̃', 'a', 'm', 'a:']
يَشۡعُرُونَ              ['j', 'a', 'ʃ', 'ʕ', 'u', 'r', 'u:', 'n', 'a']
أَيَّانَ                ['ʔ', 'a', 'j', 'j', 'a:', 'n', 'a']
يُبۡعَثُونَ              ['j', 'u', 'b', 'Q', 'ʕ', 'a', 'θ', 'u:', 'n']

16:22
إِلَـٰهُكُمۡ              ['ʔ', 'i', 'l', 'a:', 'h', 'u', 'k', 'u', 'm']
إِلَـٰهٌ                ['ʔ', 'i', 'l', 'a:', 'h', 'u']
وٰحِدٌ‌ۚ                ['w̃', 'a:', 'ħ', 'i', 'd', 'u', 'ŋ']
فَٱلَّذِينَ              ['f', 'a', 'l', 'l', 'a', 'ð', 'i:', 'n', 'a']
لَا                  ['l', 'a:']
يُؤۡمِنُونَ              ['j', 'u', 'ʔ', 'm', 'i', 'n', 'u:', 'n', 'a']
بِٱلۡأَخِرَةِ             ['b', 'i', 'l', 'ʔ', 'a', 'x', 'i', 'r', 'a', 't', 'i']
قُلُوبُهُم              ['q', 'u', 'l', 'u:', 'b', 'u', 'h', 'u', 'm̃']
مُّنكِرَةٌ               ['u', 'ŋ', 'k', 'i', 'r', 'a', 't', 'u']
وَهُم                 ['w̃', 'a', 'h', 'u', 'm̃']
مُّسۡتَكۡبِرُونَ            ['u', 's', 't', 'a', 'k', 'b', 'i', 'r', 'u:', 'n']

16:23
لَا                  ['l', 'a:']
جَرَمَ                 ['ʒ', 'a', 'r', 'a', 'm', 'a']
أَنَّ                  ['ʔ', 'a', 'ñ', 'a']
ٱللَّهَ                ['l', 'l', 'l', 'a', 'h', 'a']
يَعۡلَمُ                ['j', 'a', 'ʕ', 'l', 'a', 'm', 'u']
مَا                  ['m', 'a:']
يُسِرُّونَ               ['j', 'u', 's', 'i', 'r', 'r', 'u:', 'n', 'a']
وَمَا                 ['w', 'a', 'm', 'a:']
يُعۡلِنُونَ‌ۚ             ['j', 'u', 'ʕ', 'l', 'i', 'n', 'u:', 'n', 'a']
إِنَّهُۥ                ['ʔ', 'i', 'ñ', 'a', 'h', 'u:']
لَا                  ['l', 'a:']
يُحِبُّ                 ['j', 'u', 'ħ', 'i', 'b', 'b', 'u']
ٱلۡمُسۡتَكۡبِرِينَ          ['l', 'm', 'u', 's', 't', 'a', 'k', 'b', 'i', 'r', 'i:', 'n']

16:24
وَإِذَا                ['w', 'a', 'ʔ', 'i', 'ð', 'a:']
قِيلَ                 ['q', 'i:', 'l', 'a']
لَهُم                 ['l', 'a', 'h', 'u', 'm̃']
مَّاذَآ                ['a:', 'ð', 'a:']
أَنزَلَ                ['ʔ', 'a', 'ŋ', 'z', 'a', 'l', 'a']
رَبُّكُمۡ‌ۙ               ['r', 'a', 'b', 'b', 'u', 'k', 'u', 'm']
قَالُوٓاۡ               ['q', 'a:', 'l', 'u:']
أَسَـٰطِيرُ              ['ʔ', 'a', 's', 'a:', 'tˤ', 'i:', 'r', 'u']
ٱلۡأَوَّلِينَ             ['l', 'ʔ', 'a', 'w', 'w', 'a', 'l', 'i:', 'n']

16:25
لِيَحۡمِلُوٓاۡ             ['l', 'i', 'j', 'a', 'ħ', 'm', 'i', 'l', 'u:']
أَوۡزَارَهُمۡ             ['ʔ', 'a', 'w', 'z', 'a:', 'r', 'a', 'h', 'u', 'm']
كَامِلَةً               ['k', 'a:', 'm', 'i', 'l', 'a', 't', 'a']
يَوۡمَ                 ['j̃', 'a', 'w', 'm', 'a']
ٱلۡقِيَـٰمَةِ‌ۙ            ['l', 'q', 'i', 'j', 'a:', 'm', 'a', 't', 'i']
وَمِنۡ                 ['w', 'a', 'm', 'i', 'n']
أَوۡزَارِ               ['ʔ', 'a', 'w', 'z', 'a:', 'r', 'i']
ٱلَّذِينَ               ['l', 'l', 'a', 'ð', 'i:', 'n', 'a']
يُضِلُّونَهُم             ['j', 'u', 'dˤ', 'i', 'l', 'l', 'u:', 'n', 'a', 'h', 'u', 'ɱ']
بِغَيۡرِ                ['b', 'i', 'ɣ', 'a', 'j', 'r', 'i']
عِلۡمٍ‌ۗ                ['ʕ', 'i', 'l', 'm']
أَلَا                 ['ʔ', 'a', 'l', 'a:']
سَآءَ                 ['s', 'a:', 'ʔ', 'a']
مَا                  ['m', 'a:']
يَزِرُونَ               ['j', 'a', 'z', 'i', 'r', 'u:', 'n']

16:26
قَدۡ                  ['q', 'a', 'd', 'QQ']
مَكَرَ                 ['m', 'a', 'k', 'a', 'r', 'a']
ٱلَّذِينَ               ['l', 'l', 'a', 'ð', 'i:', 'n', 'a']
مِن                  ['m', 'i', 'ŋˤ']
قَبۡلِهِمۡ               ['q', 'a', 'b', 'Q', 'l', 'i', 'h', 'i', 'm']
فَأَتَى                ['f', 'a', 'ʔ', 'a', 't', 'a']
ٱللَّهُ                ['l', 'l', 'l', 'a', 'h', 'u']
بُنۡيَـٰنَهُم             ['b', 'u', 'n', 'j', 'a:', 'n', 'a', 'h', 'u', 'm̃']
مِّنَ                  ['i', 'n', 'a']
ٱلۡقَوَاعِدِ             ['l', 'q', 'a', 'w', 'a:', 'ʕ', 'i', 'd', 'i']
فَخَرَّ                 ['f', 'a', 'x', 'a', 'r', 'r', 'a']
عَلَيۡهِمُ               ['ʕ', 'a', 'l', 'a', 'j', 'h', 'i', 'm', 'u']
ٱلسَّقۡفُ               ['s', 's', 'a', 'q', 'Q', 'f', 'u']
مِن                  ['m', 'i', 'ŋ']
فَوۡقِهِمۡ               ['f', 'a', 'w', 'q', 'i', 'h', 'i', 'm']
وَأَتَـٰهُمُ              ['w', 'a', 'ʔ', 'a', 't', 'a:', 'h', 'u', 'm', 'u']
ٱلۡعَذَابُ              ['l', 'ʕ', 'a', 'ð', 'a:', 'b', 'u']
مِنۡ                  ['m', 'i', 'n']
حَيۡثُ                 ['ħ', 'a', 'j', 'θ', 'u']
لَا                  ['l', 'a:']
يَشۡعُرُونَ              ['j', 'a', 'ʃ', 'ʕ', 'u', 'r', 'u:', 'n']

16:27
ثُمَّ                  ['θ', 'u', 'm̃', 'a']
يَوۡمَ                 ['j', 'a', 'w', 'm', 'a']
ٱلۡقِيَـٰمَةِ             ['l', 'q', 'i', 'j', 'a:', 'm', 'a', 't', 'i']
يُخۡزِيهِمۡ              ['j', 'u', 'x', 'z', 'i:', 'h', 'i', 'm']
وَيَقُولُ               ['w', 'a', 'j', 'a', 'q', 'u:', 'l', 'u']
أَيۡنَ                 ['ʔ', 'a', 'j', 'n', 'a']
شُرَكَآءِىَ              ['ʃ', 'u', 'r', 'a', 'k', 'a:', 'ʔ', 'i', 'j', 'a']
ٱلَّذِينَ               ['l', 'l', 'a', 'ð', 'i:', 'n', 'a']
كُنتُمۡ                ['k', 'u', 'ŋ', 't', 'u', 'm']
تُشَـٰٓقُّونَ              ['t', 'u', 'ʃ', 'a:', 'q', 'q', 'u:', 'n', 'a']
فِيهِمۡ‌ۚ               ['f', 'i:', 'h', 'i', 'm']
قَالَ                 ['q', 'a:', 'l', 'a']
ٱلَّذِينَ               ['l', 'l', 'a', 'ð', 'i:', 'n', 'a']
أُوتُواۡ               ['ʔ', 'u:', 't', 'u:']
ٱلۡعِلۡمَ               ['l', 'ʕ', 'i', 'l', 'm', 'a']
إِنَّ                  ['ʔ', 'i', 'ñ', 'a']
ٱلۡخِزۡىَ               ['l', 'x', 'i', 'z', 'j', 'a']
ٱلۡيَوۡمَ               ['l', 'j', 'a', 'w', 'm', 'a']
وَٱلسُّوٓءَ              ['w', 'a', 's', 's', 'u:', 'ʔ', 'a']
عَلَى                 ['ʕ', 'a', 'l', 'a']
ٱلۡكَـٰفِرِينَ            ['l', 'k', 'a:', 'f', 'i', 'r', 'i:', 'n']

16:28
ٱلَّذِينَ               ['ʔ', 'a', 'l', 'a', 'ð', 'i:', 'n', 'a']
تَتَوَفَّـٰهُمُ             ['t', 'a', 't', 'a', 'w', 'a', 'f', 'f', 'a:', 'h', 'u', 'm', 'u']
ٱلۡمَلَـٰٓئِكَةُ            ['l', 'm', 'a', 'l', 'a:', 'ʔ', 'i', 'k', 'a', 't', 'u']
ظَالِمِىٓ               ['ðˤ', 'a:', 'l', 'i', 'm', 'i:']
أَنفُسِهِمۡ‌ۖ             ['ʔ', 'a', 'ŋ', 'f', 'u', 's', 'i', 'h', 'i', 'm']
فَأَلۡقَوُاۡ              ['f', 'a', 'ʔ', 'a', 'l', 'q', 'a', 'w', 'u']
ٱلسَّلَمَ               ['s', 's', 'a', 'l', 'a', 'm', 'a']
مَا                  ['m', 'a:']
كُنَّا                 ['k', 'u', 'ñ', 'a:']
نَعۡمَلُ                ['n', 'a', 'ʕ', 'm', 'a', 'l', 'u']
مِن                  ['m', 'i', 'ŋ']
سُوٓءِۭ‌ۚ                ['s', 'u:', 'ʔ', 'i', 'm̃']
بَلَىٰٓ                 ['b', 'a', 'l', 'a:']
إِنَّ                  ['ʔ', 'i', 'ñ', 'a']
ٱللَّهَ                ['l', 'l', 'l', 'a', 'h', 'a']
عَلِيمُۢ                ['ʕ', 'a', 'l', 'i:', 'm', 'u', 'm̃']
بِمَا                 ['b', 'i', 'm', 'a:']
كُنتُمۡ                ['k', 'u', 'ŋ', 't', 'u', 'm']
تَعۡمَلُونَ              ['t', 'a', 'ʕ', 'm', 'a', 'l', 'u:', 'n']

16:29
فَٱدۡخُلُوٓاۡ             ['f', 'a', 'd', 'Q', 'x', 'u', 'l', 'u:']
أَبۡوٰبَ                ['ʔ', 'a', 'b', 'Q', 'w', 'a:', 'b', 'a']
