الٓمٓ                 ['l', 'm']
وَأُوۡلَـٰٓئِكَ             ['w', 'a', 'ʔ', 'u', 'l', 'a:', 'ʔ', 'i', 'k', 'a']
هُمُ                  ['h', 'u', 'm', 'u']
ٱلۡمُفۡلِحُونَ            ['l', 'm', 'u', 'f', 'l', 'i', 'ħ', 'u:', 'n']

6
إِنَّ                  ['ʔ', 'i', 'n̰', 'a']
ٱلَّذِينَ               ['l', 'l', 'a', 'ð', 'i:', 'n', 'a']
كَفَرُواۡ               ['k', 'a', 'f', 'a', 'r', 'u:']
سَوَآءٌ                ['s', 'a', 'w', 'a:', 'ʔ', 'un']
عَلَيۡهِمۡ               ['ʕ', 'a', 'l', 'a', 'j', 'h', 'i', 'm']
ءَأَنذَرۡتَهُمۡ            ['ʔ', 'a', 'ʔ', 'a', 'Ikh1', 'ð', 'a', 'r', 't', 'a', 'h', 'u', 'm']
أَمۡ                  ['ʔ', 'a', 'm']
لَمۡ                  ['l', 'a', 'm']
تُنذِرۡهُمۡ              ['t', 'u', 'Ikh1', 'ð', 'i', 'r', 'h', 'u', 'm']
لَا                  ['l', 'a:']
يُؤۡمِنُونَ              ['j', 'u', 'ʔ', 'm', 'i', 'n', 'u:', 'n']

7
خَتَمَ                 ['x', 'a', 't', 'a', 'm', 'a']
ٱللَّهُ                ['l', 'l', 'l', 'a', 'h', 'u']
عَلَىٰ                 ['ʕ', 'a', 'l', 'a:']
قُلُوبِهِمۡ              ['q', 'u', 'l', 'u:', 'b', 'i', 'h', 'i', 'm']
وَعَلَىٰ                ['w', 'a', 'ʕ', 'a', 'l', 'a:']
سَمۡعِهِمۡ‌ۖ              ['s', 'a', 'm', 'ʕ', 'i', 'h', 'i', 'm']
وَعَلَىٰٓ                ['w', 'a', 'ʕ', 'a', 'l', 'a:']
أَبۡصَـٰرِهِمۡ             ['ʔ', 'a', 'b', 'Q', 'sˤ', 'a:', 'r', 'i', 'h', 'i', 'm']
غِشَـٰوَةٌ‌ۖ              ['ɣ', 'i', 'ʃ', 'a:', 'w', 'a', 't', 'u']
وَلَهُمۡ                ['w̰', 'a', 'l', 'a', 'h', 'u', 'm']
عَذَابٌ                ['ʕ', 'a', 'ð', 'a:', 'b', 'un']
عَظِيمٌ                ['ʕ', 'a', 'ðˤ', 'i:', 'm']

8
وَمِنَ                 ['w', 'a', 'm', 'i', 'n', 'a']
ٱلنَّاسِ               ['n̰', 'a:', 's', 'i']
مَن                  ['m', 'a']
يَقُولُ                ['j̰', 'a', 'q', 'u:', 'l', 'u']
ءَامَنَّا               ['ʔ', 'a:', 'm', 'a', 'n̰', 'a:']
بِٱللَّهِ               ['b', 'i', 'l', 'l', 'l', 'a', 'h', 'i']
وَبِٱلۡيَوۡمِ             ['w', 'a', 'b', 'i', 'l', 'j', 'a', 'w', 'm', 'i']
ٱلۡأَخِرِ               ['l', 'ʔ', 'a', 'x', 'i', 'r', 'i']
وَمَا                 ['w', 'a', 'm', 'a:']
هُم                  ['h', 'u', 'Ikh']
بِمُؤۡمِنِينَ             ['b', 'i', 'm', 'u', 'ʔ', 'm', 'i', 'n', 'i:', 'n']

9
يُخَـٰدِعُونَ             ['j', 'u', 'x', 'a:', 'd', 'i', 'ʕ', 'u:', 'n', 'a']
ٱللَّهَ                ['l', 'l', 'l', 'a', 'h', 'a']
وَٱلَّذِينَ              ['w', 'a', 'l', 'l', 'a', 'ð', 'i:', 'n', 'a']
ءَامَنُواۡ              ['ʔ', 'a:', 'm', 'a', 'n', 'u:']
وَمَا                 ['w', 'a', 'm', 'a:']
يَخۡدَعُونَ              ['j', 'a', 'x', 'd', 'a', 'ʕ', 'u:', 'n', 'a']
إِلَّآ                 ['ʔ', 'i', 'l', 'l', 'a:']
أَنفُسَهُمۡ              ['ʔ', 'a', 'Ikh1', 'f', 'u', 's', 'a', 'h', 'u', 'm']
وَمَا                 ['w', 'a', 'm', 'a:']
يَشۡعُرُونَ              ['j', 'a', 'ʃ', 'ʕ', 'u', 'r', 'u:', 'n']

10
فِى                  ['f', 'i:']
قُلُوبِهِم              ['q', 'u', 'l', 'u:', 'b', 'i', 'h', 'i', 'm̰']
مَّرَضٌ                 ['a', 'r', 'a', 'dˤ', 'u', 'Ikh1']
فَزَادَهُمُ              ['f', 'a', 'z', 'a:', 'd', 'a', 'h', 'u', 'm', 'u']
ٱللَّهُ                ['l', 'l', 'l', 'a', 'h', 'u']
مَرَضًا‌ۖ               ['m', 'a', 'r', 'a', 'dˤ', 'a']
وَلَهُمۡ                ['w̰', 'a', 'l', 'a', 'h', 'u', 'm']
عَذَابٌ                ['ʕ', 'a', 'ð', 'a:', 'b', 'un']
أَلِيمُۢ                ['ʔ', 'a', 'l', 'i:', 'm', 'u', 'm̰']
بِمَا                 ['b', 'i', 'm', 'a:']
كَانُواۡ               ['k', 'a:', 'n', 'u:']
يَكۡذِبُونَ              ['j', 'a', 'k', 'ð', 'i', 'b', 'u:', 'n']

11
وَإِذَا                ['w', 'a', 'ʔ', 'i', 'ð', 'a:']
قِيلَ                 ['q', 'i:', 'l', 'a']
لَهُمۡ                 ['l', 'a', 'h', 'u', 'm']
لَا                  ['l', 'a:']
تُفۡسِدُواۡ              ['t', 'u', 'f', 's', 'i', 'd', 'u:']
فِى                  ['f', 'i:']
ٱلۡأَرۡضِ               ['l', 'ʔ', 'a', 'r', 'dˤ', 'i']
قَالُوٓاۡ               ['q', 'a:', 'l', 'u:']
إِنَّمَا                ['ʔ', 'i', 'n̰', 'a', 'm', 'a:']
نَحۡنُ                 ['n', 'a', 'ħ', 'n', 'u']
مُصۡلِحُونَ              ['m', 'u', 'sˤ', 'l', 'i', 'ħ', 'u:', 'n']

12
أَلَآ                 ['ʔ', 'a', 'l', 'a:']
إِنَّهُمۡ                ['ʔ', 'i', 'n̰', 'a', 'h', 'u', 'm']
هُمُ                  ['h', 'u', 'm', 'u']
ٱلۡمُفۡسِدُونَ            ['l', 'm', 'u', 'f', 's', 'i', 'd', 'u:', 'n', 'a']
وَلَـٰكِن               ['w', 'a', 'l', 'a:', 'k', 'i']
لَّا                  ['l', 'l', 'a:']
يَشۡعُرُونَ              ['j', 'a', 'ʃ', 'ʕ', 'u', 'r', 'u:', 'n']

13
وَإِذَا                ['w', 'a', 'ʔ', 'i', 'ð', 'a:']
قِيلَ                 ['q', 'i:', 'l', 'a']
لَهُمۡ                 ['l', 'a', 'h', 'u', 'm']
ءَامِنُواۡ              ['ʔ', 'a:', 'm', 'i', 'n', 'u:']
كَمَآ                 ['k', 'a', 'm', 'a:']
ءَامَنَ                ['ʔ', 'a:', 'm', 'a', 'n', 'a']
ٱلنَّاسُ               ['n̰', 'a:', 's', 'u']
قَالُوٓاۡ               ['q', 'a:', 'l', 'u:']
أَنُؤۡمِنُ               ['ʔ', 'a', 'n', 'u', 'ʔ', 'm', 'i', 'n', 'u']
كَمَآ                 ['k', 'a', 'm', 'a:']
ءَامَنَ                ['ʔ', 'a:', 'm', 'a', 'n', 'a']
ٱلسُّفَهَآءُ‌ۗ            ['s', 's', 'u', 'f', 'a', 'h', 'a:', 'ʔ', 'u']
أَلَآ                 ['ʔ', 'a', 'l', 'a:']
إِنَّهُمۡ                ['ʔ', 'i', 'n̰', 'a', 'h', 'u', 'm']
هُمُ                  ['h', 'u', 'm', 'u']
ٱلسُّفَهَآءُ             ['s', 's', 'u', 'f', 'a', 'h', 'a:', 'ʔ', 'u']
وَلَـٰكِن               ['w', 'a', 'l', 'a:', 'k', 'i']
لَّا                  ['l', 'l', 'a:']
يَعۡلَمُونَ              ['j', 'a', 'ʕ', 'l', 'a', 'm', 'u:', 'n']

14
وَإِذَا                ['w', 'a', 'ʔ', 'i', 'ð', 'a:']
لَقُواۡ                ['l', 'a', 'q', 'u:']
ٱلَّذِينَ               ['l', 'l', 'a', 'ð', 'i:', 'n', 'a']
ءَامَنُواۡ              ['ʔ', 'a:', 'm', 'a', 'n', 'u:']
قَالُوٓاۡ               ['q', 'a:', 'l', 'u:']
ءَامَنَّا               ['ʔ', 'a:', 'm', 'a', 'n̰', 'a:']
وَإِذَا                ['w', 'a', 'ʔ', 'i', 'ð', 'a:']
خَلَوۡاۡ                ['x', 'a', 'l', 'a', 'w']
إِلَىٰ                 ['ʔ', 'i', 'l', 'a:']
شَيَـٰطِينِهِمۡ            ['ʃ', 'a', 'j', 'a:', 'tˤ', 'i:', 'n', 'i', 'h', 'i', 'm']
قَالُوٓاۡ               ['q', 'a:', 'l', 'u:']
إِنَّا                 ['ʔ', 'i', 'n̰', 'a:']
مَعَكُمۡ                ['m', 'a', 'ʕ', 'a', 'k', 'u', 'm']
إِنَّمَا                ['ʔ', 'i', 'n̰', 'a', 'm', 'a:']
نَحۡنُ                 ['n', 'a', 'ħ', 'n', 'u']
مُسۡتَهۡزِءُونَ            ['m', 'u', 's', 't', 'a', 'h', 'z', 'i', 'ʔ', 'u:', 'n']

15
ٱللَّهُ                ['l', 'l', 'l', 'a', 'h', 'u']
يَسۡتَهۡزِئُ              ['j', 'a', 's', 't', 'a', 'h', 'z', 'i', 'ʔ', 'u']
بِهِمۡ                 ['b', 'i', 'h', 'i', 'm']
وَيَمُدُّهُمۡ              ['w', 'a', 'j', 'a', 'm', 'u', 'd', 'd', 'u', 'h', 'u', 'm']
فِى                  ['f', 'i:']
طُغۡيَـٰنِهِمۡ             ['tˤ', 'u', 'ɣ', 'j', 'a:', 'n', 'i', 'h', 'i', 'm']
يَعۡمَهُونَ              ['j', 'a', 'ʕ', 'm', 'a', 'h', 'u:', 'n']

16
أُوۡلَـٰٓئِكَ              ['ʔ', 'u', 'l', 'a:', 'ʔ', 'i', 'k', 'a']
ٱلَّذِينَ               ['l', 'l', 'a', 'ð', 'i:', 'n', 'a']
ٱشۡتَرَوُاۡ              ['ʃ', 't', 'a', 'r', 'a', 'w', 'u']
ٱلضَّلَـٰلَةَ             ['dˤ', 'dˤ', 'a', 'l', 'a:', 'l', 'a', 't', 'a']
بِٱلۡهُدَىٰ              ['b', 'i', 'l', 'h', 'u', 'd', 'a:']
فَمَا                 ['f', 'a', 'm', 'a:']
رَبِحَت                ['r', 'a', 'b', 'i', 'ħ', 'a', 't']
تِّجَـٰرَتُهُمۡ             ['t', 't', 'i', 'ʒ', 'a:', 'r', 'a', 't', 'u', 'h', 'u', 'm']
وَمَا                 ['w', 'a', 'm', 'a:']
كَانُواۡ               ['k', 'a:', 'n', 'u:']
مُهۡتَدِينَ              ['m', 'u', 'h', 't', 'a', 'd', 'i:', 'n']

17
مَثَلُهُمۡ               ['m', 'a', 'θ', 'a', 'l', 'u', 'h', 'u', 'm']
كَمَثَلِ                ['k', 'a', 'm', 'a', 'θ', 'a', 'l', 'i']
ٱلَّذِى                ['l', 'l', 'a', 'ð', 'i:']
ٱسۡتَوۡقَدَ              ['s', 't', 'a', 'w', 'q', 'a', 'd', 'a']
نَارًا                ['n', 'a:', 'r', 'a', 'Ikh1']
فَلَمَّآ                ['f', 'a', 'l', 'a', 'm̰', 'a:']
أَضَآءَتۡ               ['ʔ', 'a', 'dˤ', 'a:', 'ʔ', 'a', 't']
مَا                  ['m', 'a:']
حَوۡلَهُۥ               ['ħ', 'a', 'w', 'l', 'a', 'h', 'u:']
ذَهَبَ                 ['ð', 'a', 'h', 'a', 'b', 'a']
ٱللَّهُ                ['l', 'l', 'l', 'a', 'h', 'u']
بِنُورِهِمۡ              ['b', 'i', 'n', 'u:', 'r', 'i', 'h', 'i', 'm']
وَتَرَكَهُمۡ              ['w', 'a', 't', 'a', 'r', 'a', 'k', 'a', 'h', 'u', 'm']
فِى                  ['f', 'i:']
ظُلُمَـٰتٍ               ['ðˤ', 'u', 'l', 'u', 'm', 'a:', 't', 'i']
لَّا                  ['l', 'l', 'a:']
يُبۡصِرُونَ              ['j', 'u', 'b', 'Q', 'sˤ', 'i', 'r', 'u:', 'n']

18
صُمُّۢ                  ['sˤ', 'u', 'm', 'm', 'u', 'm̰']
بُكۡمٌ                 ['b', 'u', 'k', 'm', 'un']
عُمۡىٌ                 ['ʕ', 'u', 'm', 'j', 'u', 'Ikh1']
فَهُمۡ                 ['f', 'a', 'h', 'u', 'm']
لَا                  ['l', 'a:']
يَرۡجِعُونَ              ['j', 'a', 'r', 'ʒ', 'i', 'ʕ', 'u:', 'n']

19
أَوۡ                  ['ʔ', 'a', 'w']
كَصَيِّبٍ                ['k', 'a', 'sˤ', 'a', 'j', 'j', 'i', 'b', 'i']
مِّنَ                  ['m̰', 'i', 'n', 'a']
ٱلسَّمَآءِ              ['s', 's', 'a', 'm', 'a:', 'ʔ', 'i']
فِيهِ                 ['f', 'i:', 'h', 'i']
ظُلُمَـٰتٌ               ['ðˤ', 'u', 'l', 'u', 'm', 'a:', 't', 'u']
وَرَعۡدٌ                ['w̰', 'a', 'r', 'a', 'ʕ', 'd', 'u']
وَبَرۡقٌ                ['w̰', 'a', 'b', 'a', 'r', 'q', 'u']
يَجۡعَلُونَ              ['j̰', 'a', 'ʒ', 'Q', 'ʕ', 'a', 'l', 'u:', 'n', 'a']
أَصَـٰبِعَهُمۡ             ['ʔ', 'a', 'sˤ', 'a:', 'b', 'i', 'ʕ', 'a', 'h', 'u', 'm']
فِىٓ                  ['f', 'i:']
ءَاذَانِهِم             ['ʔ', 'a:', 'ð', 'a:', 'n', 'i', 'h', 'i', 'm̰']
مِّنَ                  ['i', 'n', 'a']
ٱلصَّوٰعِقِ              ['sˤ', 'sˤ', 'a', 'w', 'a:', 'ʕ', 'i', 'q', 'i']
حَذَرَ                 ['ħ', 'a', 'ð', 'a', 'r', 'a']
ٱلۡمَوۡتِ‌ۚ              ['l', 'm', 'a', 'w', 't', 'i']
وَٱللَّهُ               ['w', 'a', 'l', 'l', 'l', 'a', 'h', 'u']
مُحِيطُۢ                ['m', 'u', 'ħ', 'i:', 'tˤ', 'u', 'm̰']
بِٱلۡكَـٰفِرِينَ           ['b', 'i', 'l', 'k', 'a:', 'f', 'i', 'r', 'i:', 'n']

20
يَكَادُ                ['j', 'a', 'k', 'a:', 'd', 'u']
ٱلۡبَرۡقُ               ['l', 'b', 'a', 'r', 'q', 'u']
يَخۡطَفُ                ['j', 'a', 'x', 'tˤ', 'a', 'f', 'u']
أَبۡصَـٰرَهُمۡ‌ۖ            ['ʔ', 'a', 'b', 'Q', 'sˤ', 'a:', 'r', 'a', 'h', 'u', 'm']
كُلَّمَآ                ['k', 'u', 'l', 'l', 'a', 'm', 'a:']
أَضَآءَ                ['ʔ', 'a', 'dˤ', 'a:', 'ʔ', 'a']
لَهُم                 ['l', 'a', 'h', 'u', 'm̰']
مَّشَوۡاۡ                ['a', 'ʃ', 'a', 'w']
فِيهِ                 ['f', 'i:', 'h', 'i']
وَإِذَآ                ['w', 'a', 'ʔ', 'i', 'ð', 'a:']
أَظۡلَمَ                ['ʔ', 'a', 'ðˤ', 'l', 'a', 'm', 'a']
عَلَيۡهِمۡ               ['ʕ', 'a', 'l', 'a', 'j', 'h', 'i', 'm']
قَامُواۡ‌ۚ              ['q', 'a:', 'm', 'u:']
وَلَوۡ                 ['w', 'a', 'l', 'a', 'w']
شَآءَ                 ['ʃ', 'a:', 'ʔ', 'a']
ٱللَّهُ                ['l', 'l', 'l', 'a', 'h', 'u']
لَذَهَبَ                ['l', 'a', 'ð', 'a', 'h', 'a', 'b', 'a']
بِسَمۡعِهِمۡ              ['b', 'i', 's', 'a', 'm', 'ʕ', 'i', 'h', 'i', 'm']
وَأَبۡصَـٰرِهِمۡ‌ۚ           ['w', 'a', 'ʔ', 'a', 'b', 'Q', 'sˤ', 'a:', 'r', 'i', 'h', 'i', 'm']
إِنَّ                  ['ʔ', 'i', 'n̰', 'a']
ٱللَّهَ                ['l', 'l', 'l', 'a', 'h', 'a']
عَلَىٰ                 ['ʕ', 'a', 'l', 'a:']
كُلِّ                  ['k', 'u', 'l', 'l', 'i']
شَىۡءٍ                 ['ʃ', 'a', 'j', 'ʔ', 'i', 'Ikh2']
قَدِيرٌ                ['q', 'a', 'd', 'i:', 'r']

21
يَـٰٓأَيُّهَا              ['j', 'a:', 'ʔ', 'a', 'j', 'j', 'u', 'h', 'a:']
ٱلنَّاسُ               ['n̰', 'a:', 's', 'u']
ٱعۡبُدُواۡ              ['ʕ', 'b', 'u', 'd', 'u:']
رَبَّكُمُ                ['r', 'a', 'b', 'b', 'a', 'k', 'u', 'm', 'u']
ٱلَّذِى                ['l', 'l', 'a', 'ð', 'i:']
خَلَقَكُمۡ               ['x', 'a', 'l', 'a', 'q', 'a', 'k', 'u', 'm']
وَٱلَّذِينَ              ['w', 'a', 'l', 'l', 'a', 'ð', 'i:', 'n', 'a']
مِن                  ['m', 'i', 'Ikh2']
قَبۡلِكُمۡ               ['q', 'a', 'b', 'Q', 'l', 'i', 'k', 'u', 'm']
لَعَلَّكُمۡ               ['l', 'a', 'ʕ', 'a', 'l', 'l', 'a', 'k', 'u', 'm']
تَتَّقُونَ               ['t', 'a', 't', 't', 'a', 'q', 'u:', 'n']

22
ٱلَّذِى                ['l', 'a', 'ð', 'i:']
جَعَلَ                 ['ʒ', 'a', 'ʕ', 'a', 'l', 'a']
لَكُمُ                 ['l', 'a', 'k', 'u', 'm', 'u']
ٱلۡأَرۡضَ               ['l', 'ʔ', 'a', 'r', 'dˤ', 'a']
فِرٰشًا                ['f', 'i', 'r', 'a:', 'ʃ', 'a']
وَٱلسَّمَآءَ             ['w̰', 'a', 's', 's', 'a', 'm', 'a:', 'ʔ', 'a']
بِنَآءً                ['b', 'i', 'n', 'a:', 'ʔ', 'a']
وَأَنزَلَ               ['w̰', 'a', 'ʔ', 'a', 'Ikh1', 'z', 'a', 'l', 'a']
مِنَ                  ['m', 'i', 'n', 'a']
ٱلسَّمَآءِ              ['s', 's', 'a', 'm', 'a:', 'ʔ', 'i']
مَآءً                 ['m', 'a:', 'ʔ', 'a', 'Ikh1']
فَأَخۡرَجَ               ['f', 'a', 'ʔ', 'a', 'x', 'r', 'a', 'ʒ', 'a']
بِهِۦ                 ['b', 'i', 'h', 'i:']
مِنَ                  ['m', 'i', 'n', 'a']
ٱلثَّمَرٰتِ              ['θ', 'θ', 'a', 'm', 'a', 'r', 'a:', 't', 'i']
رِزۡقًا                ['r', 'i', 'z', 'q', 'a']
لَّكُمۡ‌ۖ                ['l', 'l', 'a', 'k', 'u', 'm']
فَلَا                 ['f', 'a', 'l', 'a:']
تَجۡعَلُواۡ              ['t', 'a', 'ʒ', 'Q', 'ʕ', 'a', 'l', 'u:']
لِلَّهِ                 ['l', 'i', 'l', 'l', 'a', 'h', 'i']
أَندَادًا              ['ʔ', 'a', 'Ikh1', 'd', 'a:', 'd', 'a']
وَأَنتُمۡ               ['w̰', 'a', 'ʔ', 'a', 'Ikh1', 't', 'u', 'm']
تَعۡلَمُونَ              ['t', 'a', 'ʕ', 'l', 'a', 'm', 'u:', 'n']

23
وَإِن                 ['w', 'a', 'ʔ', 'i', 'Ikh1']
كُنتُمۡ                ['k', 'u', 'Ikh1', 't', 'u', 'm']
فِى                  ['f', 'i:']
رَيۡبٍ                 ['r', 'a', 'j', 'b', 'i']
مِّمَّا                 ['m̰', 'i', 'm̰', 'a:']
نَزَّلۡنَا               ['n', 'a', 'z', 'z', 'a', 'l', 'n', 'a:']
عَلَىٰ                 ['ʕ', 'a', 'l', 'a:']
عَبۡدِنَا               ['ʕ', 'a', 'b', 'Q', 'd', 'i', 'n', 'a:']
فَأۡتُواۡ               ['f', 'a', 'ʔ', 't', 'u:']
بِسُورَةٍ               ['b', 'i', 's', 'u:', 'r', 'a', 't', 'i']
مِّن                  ['m̰', 'i']
مِّثۡلِهِۦ               ['m̰', 'i', 'θ', 'l', 'i', 'h', 'i:']
وَٱدۡعُواۡ              ['w', 'a', 'd', 'Q', 'ʕ', 'u:']
شُهَدَآءَكُم             ['ʃ', 'u', 'h', 'a', 'd', 'a:', 'ʔ', 'a', 'k', 'u', 'm̰']
مِّن                  ['i', 'Ikh1']
دُونِ                 ['d', 'u:', 'n', 'i']
ٱللَّهِ                ['l', 'l', 'l', 'a', 'h', 'i']
إِن                  ['ʔ', 'i', 'Ikh1']
كُنتُمۡ                ['k', 'u', 'Ikh1', 't', 'u', 'm']
صَـٰدِقِينَ              ['sˤ', 'a:', 'd', 'i', 'q', 'i:', 'n']

24
فَإِن                 ['f', 'a', 'ʔ', 'i']
لَّمۡ                  ['l', 'l', 'a', 'm']
تَفۡعَلُواۡ              ['t', 'a', 'f', 'ʕ', 'a', 'l', 'u:']
وَلَن                 ['w', 'a', 'l', 'a', 'Ikh1']
تَفۡعَلُواۡ              ['t', 'a', 'f', 'ʕ', 'a', 'l', 'u:']
فَٱتَّقُواۡ              ['f', 'a', 't', 't', 'a', 'q', 'u:']
ٱلنَّارَ               ['n̰', 'a:', 'r', 'a']
ٱلَّتِى                ['l', 'l', 'a', 't', 'i:']
وَقُودُهَا              ['w', 'a', 'q', 'u:', 'd', 'u', 'h', 'a:']
ٱلنَّاسُ               ['n̰', 'a:', 's', 'u']
وَٱلۡحِجَارَةُ‌ۖ           ['w', 'a', 'l', 'ħ', 'i', 'ʒ', 'a:', 'r', 'a', 't', 'u']
أُعِدَّتۡ                ['ʔ', 'u', 'ʕ', 'i', 'd', 'd', 'a', 't']
لِلۡكَـٰفِرِينَ            ['l', 'i', 'l', 'k', 'a:', 'f', 'i', 'r', 'i:', 'n']

25
وَبَشِّرِ                ['w', 'a', 'b', 'a', 'ʃ', 'ʃ', 'i', 'r', 'i']
ٱلَّذِينَ               ['l', 'l', 'a', 'ð', 'i:', 'n', 'a']
ءَامَنُواۡ              ['ʔ', 'a:', 'm', 'a', 'n', 'u:']
وَعَمِلُواۡ              ['w', 'a', 'ʕ', 'a', 'm', 'i', 'l', 'u:']
ٱلصَّـٰلِحَـٰتِ            ['sˤ', 'sˤ', 'a:', 'l', 'i', 'ħ', 'a:', 't', 'i']
أَنَّ                  ['ʔ', 'a', 'n̰', 'a']
لَهُمۡ                 ['l', 'a', 'h', 'u', 'm']
جَنَّـٰتٍ                ['ʒ', 'a', 'n̰', 'a:', 't', 'i', 'Ikh1']
تَجۡرِى                ['t', 'a', 'ʒ', 'Q', 'r', 'i:']
مِن                  ['m', 'i', 'Ikh1']
تَحۡتِهَا               ['t', 'a', 'ħ', 't', 'i', 'h', 'a:']
ٱلۡأَنۡهَـٰرُ‌ۖ            ['l', 'ʔ', 'a', 'n', 'h', 'a:', 'r', 'u']
كُلَّمَا                ['k', 'u', 'l', 'l', 'a', 'm', 'a:']
رُزِقُواۡ               ['r', 'u', 'z', 'i', 'q', 'u:']
مِنۡهَا                ['m', 'i', 'n', 'h', 'a:']
مِن                  ['m', 'i', 'Ikh1']
ثَمَرَةٍ                ['θ', 'a', 'm', 'a', 'r', 'a', 't', 'i']
رِّزۡقًا‌ۙ               ['r', 'r', 'i', 'z', 'q', 'a', 'Ikh2']
قَالُواۡ               ['q', 'a:', 'l', 'u:']
هَـٰذَا                ['h', 'a:', 'ð', 'a:']
ٱلَّذِى                ['l', 'l', 'a', 'ð', 'i:']
رُزِقۡنَا               ['r', 'u', 'z', 'i', 'q', 'Q', 'n', 'a:']
مِن                  ['m', 'i', 'Ikh2']
قَبۡلُ‌ۖ                ['q', 'a', 'b', 'Q', 'l', 'u']
وَأُتُواۡ               ['w', 'a', 'ʔ', 'u', 't', 'u:']
بِهِۦ                 ['b', 'i', 'h', 'i:']
مُتَشَـٰبِهًا‌ۖ            ['m', 'u', 't', 'a', 'ʃ', 'a:', 'b', 'i', 'h', 'a']
وَلَهُمۡ                ['w̰', 'a', 'l', 'a', 'h', 'u', 'm']
فِيهَآ                ['f', 'i:', 'h', 'a:']
أَزۡوٰجٌ                ['ʔ', 'a', 'z', 'w', 'a:', 'ʒ', 'u']
مُّطَهَّرَةٌ‌ۖ              ['m̰', 'u', 'tˤ', 'a', 'h', 'h', 'a', 'r', 'a', 't', 'u']
وَهُمۡ                 ['w̰', 'a', 'h', 'u', 'm']
فِيهَا                ['f', 'i:', 'h', 'a:']
خَـٰلِدُونَ              ['x', 'a:', 'l', 'i', 'd', 'u:', 'n']

26
۞إِنَّ                 ['ʔ', 'i', 'n̰', 'a']
ٱللَّهَ                ['l', 'l', 'l', 'a', 'h', 'a']
لَا                  ['l', 'a:']
يَسۡتَحۡىِۦٓ              ['j', 'a', 's', 't', 'a', 'ħ', 'j', 'i:']
أَن                  ['ʔ', 'a']
يَضۡرِبَ                ['j̰', 'a', 'dˤ', 'r', 'i', 'b', 'a']
مَثَلاً                ['m', 'a', 'θ', 'a', 'l:', 'a']
مَّا                  ['m̰', 'a:']
بَعُوضَةً               ['b', 'a', 'ʕ', 'u:', 'dˤ', 'a', 't', 'a', 'Ikh1']
فَمَا                 ['f', 'a', 'm', 'a:']
فَوۡقَهَا‌ۚ              ['f', 'a', 'w', 'q', 'a', 'h', 'a:']
فَأَمَّا                ['f', 'a', 'ʔ', 'a', 'm̰', 'a:']
